location,latitude,longitude
AGARA VILLAGE,13.0386734,77.6468085
SHETTIGERE,13.1796212,77.6658802
KENCHANEHALLI R R NAGAR,12.523863,76.887077
BEL ROAD,13.051693,77.552177
BYAGADADHENAHALLI,,
DODDABOMMASANDRA,13.0649673,77.56296570598985
MARUTHI LAYOUT,12.9381629,77.48146
SREE NARAYANA NAGAR,13.0292753,77.5591419
TUNGANAGARA,12.985503,77.485068
BTM 2ND STAGE,12.9140788,77.6188862
REMCO BHEL LAYOUT,,
CHOKKASANDRA,13.0378,77.5161
PANDURANGA NAGAR,12.8930758,77.5961351
SRI VENKATESHPURA LAYOUT,13.17163,77.558081
JAKKUR PLANTATION,13.07769775,77.59765216294025
SIR M V NAGAR,12.887209,77.680655
BIKASIPURA,,
BASAVESHWARA NAGAR YELAHANKA,15.153898,76.942812
1ST BLOCK KORAMANGALA,12.929278,77.63503
HOSKOTE,13.073014,77.7921381
ATTIGUPPE,12.961875,77.533551
SRIRAMPURAM,17.117701,79.2131567
RACE COURSE ROAD,22.724784,75.871632
GKVK LAYOUT,13.011885,77.544139
ST. JOHN'S ROAD,17.441067,78.505566
DOOPANAHALLI,12.967359,77.639208
DODDABALLAPUR,13.292286,77.544049
SATHANUR,13.1279084,77.646629
RAMAMOHANAPURAM,,
KANAKAPURA ROAD,12.782773,77.499809
KAVERI NAGAR,13.0386319,77.646528
SUNDAR RAM SHETTY NAGAR,12.894586,77.602073
KIRLOSKAR LAYOUT,13.067101,77.501338
ALFA GARDEN LAYOUT,12.916795,77.609309
GOWDANAPALYA,,
HOODI LAYOUT,12.922005,77.648683
GAUNDANAPALYA,,
ARASANAKUNTE,,
5TH BLOCK KORAMANGALA,12.934243,77.615215
JAKKURYELAHANKA,,
GUNJUR PALYA,12.922327,77.736038
UPKAR LAYOUT,13.011885,77.544139
SUNKADAKATTE,12.995024,77.5065272
SOMESHWARA LAYOUT,12.899279,77.68773
